"RGN11NM","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019","2020","2021","2022"
"East Midlands","Missing data","","","","","","","","No data","No data","","","","","Possibly missing data","","Pandemic","",""
"East of England","","","","","","","","","No data","No data","","","","","","","Pandemic","",""
"London","Missing data","Missing data","Missing data","","","","","","No data","No data","Missing data","Missing data","Missing data","Missing data","","","Pandemic","",""
"North East","Missing data","","","Missing data","Missing data","","","","No data","No data","","","","","","","Pandemic","",""
"North West","Missing data","","","","","","","","No data","No data","","","Missing data","Missing data","","","Pandemic","",""
"Scotland","Missing data","","","","","","","","No data","No data","Possibly missing data","Possibly missing data","Possibly missing data","Possibly missing data","","","Pandemic","",""
"South East","","","","","","","","","No data","No data","","","","","","","Pandemic","",""
"South West","","","","","","","","","No data","No data","","","","","","","Pandemic","",""
"Wales","","","","","","","","","No data","No data","","","","","","","Pandemic","",""
"West Midlands","Missing data","","","","","","","","No data","No data","","","","","","","Pandemic","",""
"Yorkshire and The Humber","","","","","","","","","No data","No data","","","Possibly missing data","Possibly missing data","","","Pandemic","",""
